n_checks,n_comparisons,effect_size,sample_size,std_dev,Probability_of_finding_an_effect
2,1,0.2,100,0.1,1
2,1,0.2,100,0.2,1
2,1,0.2,1000,0.01,1
2,1,0.2,1000,0.05,1
2,1,0.2,1000,0.1,1
2,1,0.2,1000,0.2,1
2,1,0.2,5000,0.01,1
2,1,0.2,5000,0.05,1
2,1,0.2,5000,0.1,1
2,1,0.2,5000,0.2,1
2,1,0.2,10000,0.01,1
2,1,0.2,10000,0.05,1
2,1,0.2,10000,0.1,1
2,1,0.2,10000,0.2,1
2,2,0,100,0.01,0.158
2,2,0,100,0.05,0.1582
2,2,0,100,0.1,0.16
2,2,0,100,0.2,0.1696
2,2,0,1000,0.01,0.16
2,2,0,1000,0.05,0.1478
2,2,0,1000,0.1,0.1656
2,2,0,1000,0.2,0.1648
2,2,0,5000,0.01,0.1598
2,2,0,5000,0.05,0.1528
2,2,0,5000,0.1,0.1716
2,2,0,5000,0.2,0.1652
2,2,0,10000,0.01,0.1566
2,2,0,10000,0.05,0.1578
2,2,0,10000,0.1,0.156
2,2,0,10000,0.2,0.1592
2,2,0.01,100,0.01,1
2,2,0.01,100,0.05,0.5612
2,2,0.01,100,0.1,0.2702
2,2,0.01,100,0.2,0.1844
2,2,0.01,1000,0.01,1
2,2,0.01,1000,0.05,1
2,2,0.01,1000,0.1,0.8714
2,2,0.01,1000,0.2,0.4224
2,2,0.01,5000,0.01,1
2,2,0.01,5000,0.05,1
2,2,0.01,5000,0.1,1
2,2,0.01,5000,0.2,0.9218
2,2,0.01,10000,0.01,1
2,2,0.01,10000,0.05,1
2,2,0.01,10000,0.1,1
2,2,0.01,10000,0.2,0.998
2,2,0.02,100,0.01,1
2,2,0.02,100,0.05,0.972
2,2,0.02,100,0.1,0.5626
2,2,0.02,100,0.2,0.2766
2,2,0.02,1000,0.01,1
2,2,0.02,1000,0.05,1
2,2,0.02,1000,0.1,1
2,2,0.02,1000,0.2,0.876
2,2,0.02,5000,0.01,1
2,2,0.02,5000,0.05,1
2,2,0.02,5000,0.1,1
2,2,0.02,5000,0.2,1
2,2,0.02,10000,0.01,1
2,2,0.02,10000,0.05,1
2,2,0.02,10000,0.1,1
2,2,0.02,10000,0.2,1
2,2,0.05,100,0.01,1
2,2,0.05,100,0.05,1
2,2,0.05,100,0.1,0.9974
2,2,0.05,100,0.2,0.704
2,2,0.05,1000,0.01,1
2,2,0.05,1000,0.05,1
2,2,0.05,1000,0.1,1
2,2,0.05,1000,0.2,1
2,2,0.05,5000,0.01,1
2,2,0.05,5000,0.05,1
2,2,0.05,5000,0.1,1
2,2,0.05,5000,0.2,1
2,2,0.05,10000,0.01,1
2,2,0.05,10000,0.05,1
2,2,0.05,10000,0.1,1
2,2,0.05,10000,0.2,1
2,2,0.1,100,0.01,1
2,2,0.1,100,0.05,1
2,2,0.1,100,0.1,1
2,2,0.1,100,0.2,0.9976
2,2,0.1,1000,0.01,1
2,2,0.1,1000,0.05,1
2,2,0.1,1000,0.1,1
2,2,0.1,1000,0.2,1
2,2,0.1,5000,0.01,1
2,2,0.1,5000,0.05,1
2,2,0.1,5000,0.1,1
2,2,0.1,5000,0.2,1
2,2,0.1,10000,0.01,1
2,2,0.1,10000,0.05,1
2,2,0.1,10000,0.1,1
2,2,0.1,10000,0.2,1
2,2,0.2,100,0.01,1
2,2,0.2,100,0.05,1
2,2,0.2,100,0.1,1
2,2,0.2,100,0.2,1
2,2,0.2,1000,0.01,1
2,2,0.2,1000,0.05,1
2,2,0.2,1000,0.1,1
2,2,0.2,1000,0.2,1
2,2,0.2,5000,0.01,1
2,2,0.2,5000,0.05,1
2,2,0.2,5000,0.1,1
2,2,0.2,5000,0.2,1
2,2,0.2,10000,0.01,1
2,2,0.2,10000,0.05,1
2,2,0.2,10000,0.1,1
2,2,0.2,10000,0.2,1
2,3,0,100,0.01,0.2308
2,3,0,100,0.05,0.23
2,3,0,100,0.1,0.2272
2,3,0,100,0.2,0.2418
2,3,0,1000,0.01,0.226
2,3,0,1000,0.05,0.2224
2,3,0,1000,0.1,0.2258
2,3,0,1000,0.2,0.2366
2,3,0,5000,0.01,0.23
2,3,0,5000,0.05,0.2316
2,3,0,5000,0.1,0.2284
2,3,0,5000,0.2,0.2274
2,3,0,10000,0.01,0.2252
2,3,0,10000,0.05,0.23
2,3,0,10000,0.1,0.2338
2,3,0,10000,0.2,0.2296
2,3,0.01,100,0.01,1
2,3,0.01,100,0.05,0.6948
2,3,0.01,100,0.1,0.3838
2,3,0.01,100,0.2,0.2762
2,3,0.01,1000,0.01,1
2,3,0.01,1000,0.05,1
2,3,0.01,1000,0.1,0.9558
2,3,0.01,1000,0.2,0.5692
2,3,0.01,5000,0.01,1
2,3,0.01,5000,0.05,1
2,3,0.01,5000,0.1,1
2,3,0.01,5000,0.2,0.9796
2,3,0.01,10000,0.01,1
2,3,0.01,10000,0.05,1
